Max Temp,Cloudiness,Humidity,Country,Wind Speed,Lng,City,Lat,Date,parsed_time
84.15,31,73,PH,5.21,122.67,Dingle,11,1580002460,2020-01-26 01:34:20
70.07,100,98,GY,2.35,-59.78,Mabaruma,8.2,1580002461,2020-01-26 01:34:21
80.6,90,57,US,4.7,-155.09,Hilo,19.73,1580002462,2020-01-26 01:34:22
35.01,100,91,CA,3,-81.72,Goderich,43.75,1580002463,2020-01-26 01:34:23
86.38,0,63,ID,1.19,98.78,Sibolga,1.74,1580002464,2020-01-26 01:34:24
81,6,74,PH,4.97,126.58,Baculin,7.45,1580002466,2020-01-26 01:34:26
86,40,62,BR,5.48,-39.72,Exu,-7.51,1580002467,2020-01-26 01:34:27
80.6,20,74,MX,6.38,-96.47,Pochutla,15.74,1580002468,2020-01-26 01:34:28
18.86,100,92,RU,40.24,156.12,Severo-Kuril'sk,50.68,1580002469,2020-01-26 01:34:29
62.01,0,95,NA,2.66,14.28,Henties Bay,-22.12,1580002470,2020-01-26 01:34:30
-14.24,100,94,GL,7.61,-56.15,Upernavik,72.79,1580002471,2020-01-26 01:34:31
72,75,56,AU,11.41,147.33,Hobart,-42.88,1580002351,2020-01-26 01:32:31
30.2,90,100,FI,6.93,22.42,Kurikka,62.58,1580002473,2020-01-26 01:34:33
77,40,78,MU,14.99,57.7,Mahebourg,-20.41,1580002475,2020-01-26 01:34:35
62.6,76,82,CL,3.36,-73.82,Ancud,-41.87,1580002476,2020-01-26 01:34:36
79.09,100,84,BR,19.69,-39.25,Caravelas,-17.71,1580002205,2020-01-26 01:30:05
61.63,0,93,BR,2.84,-50.01,Castro,-24.79,1580002446,2020-01-26 01:34:06
78.8,75,78,EC,8.05,-90.35,Puerto Ayora,-0.74,1580002480,2020-01-26 01:34:40
42.8,90,93,CN,2.24,110.03,Baoning,25.34,1580002481,2020-01-26 01:34:41
15.8,90,92,CA,4.56,-97.86,Thompson,55.74,1580002482,2020-01-26 01:34:42
27.9,100,97,CA,2.04,-101.36,Roblin,51.23,1580002225,2020-01-26 01:30:25
83.16,62,72,PF,8.79,-151.75,Faanui,-16.48,1580002485,2020-01-26 01:34:45
75.2,75,88,JP,11.41,125.28,Hirara,24.8,1580002214,2020-01-26 01:30:14
88,40,74,AU,9.17,145.43,Mareeba,-17,1580002487,2020-01-26 01:34:47
62.01,1,77,US,4.7,-119.7,Santa Barbara,34.42,1580002423,2020-01-26 01:33:43
66.99,0,64,NZ,24.14,170.5,Dunedin,-45.87,1580002427,2020-01-26 01:33:47
78.8,75,78,MX,6.93,-104.7,San Patricio,19.22,1580002490,2020-01-26 01:34:50
68.79,100,92,BR,5.5,-46.91,Unai,-16.36,1580002491,2020-01-26 01:34:51
42.01,0,13,MX,5.99,-115.95,San Quintin,30.48,1580002492,2020-01-26 01:34:52
34,90,100,US,5.82,-84.53,Hamilton,39.18,1580002422,2020-01-26 01:33:42
75.99,20,83,PE,19.46,-76.22,Pisco,-13.7,1580002495,2020-01-26 01:34:55
60.98,15,32,IN,2.51,84.52,Simdega,22.62,1580002496,2020-01-26 01:34:56
62.6,68,72,ZA,9.17,20.04,Bredasdorp,-34.53,1580002225,2020-01-26 01:30:25
46.99,90,100,FR,4.7,-3.92,Concarneau,47.88,1580002500,2020-01-26 01:35:00
-9.44,100,96,RU,0.45,170.31,Pevek,69.7,1580002247,2020-01-26 01:30:47
